aX,aY,aZ,gX,gY,gZ
0.790,-0.029,0.605,2.197,2.808,-2.319
0.788,-0.075,0.555,2.258,3.845,-1.526
0.790,-0.089,0.508,1.648,3.906,-0.061
0.792,-0.062,0.489,0.671,3.418,1.831
0.790,-0.029,0.495,-0.488,2.747,3.479
0.790,-0.005,0.495,-1.343,2.075,4.456
0.799,0.026,0.479,-1.770,1.770,5.127
0.808,0.098,0.467,-1.404,0.916,5.554
0.811,0.172,0.491,-0.488,-0.488,5.371
0.808,0.197,0.533,-0.122,-1.709,3.906
0.810,0.192,0.583,0.610,-2.441,2.197
0.808,0.186,0.634,1.770,-2.625,0.671
0.802,0.151,0.639,2.197,-1.404,-0.854
0.802,0.085,0.618,2.808,-0.061,-1.953
0.802,0.011,0.589,3.052,1.038,-2.380
0.801,-0.033,0.554,2.319,1.465,-1.892
0.800,-0.047,0.523,1.282,1.770,-0.732
0.802,-0.041,0.501,0.427,1.648,0.488
0.802,-0.022,0.492,0.000,1.099,1.892
1.089,-0.209,1.939,14.282,-85.938,45.044
1.161,-0.118,2.358,7.202,-75.867,52.002
1.212,0.018,2.749,1.160,-63.354,59.204
1.246,0.225,2.924,-3.601,-39.917,65.002
1.272,0.494,2.972,-9.827,-14.954,68.359
1.256,0.830,3.028,-15.808,6.470,68.970
1.215,1.191,3.102,-19.958,26.794,66.406
1.142,1.492,3.104,-22.400,49.805,59.143
1.038,1.692,2.959,-26.306,75.256,46.204
0.943,1.777,2.697,-28.931,99.182,30.640
0.850,1.818,2.346,-30.518,119.751,13.977
0.738,1.758,1.934,-30.518,136.108,-3.113
0.632,1.603,1.534,-29.358,147.766,-19.958
0.521,1.342,1.176,-26.489,158.447,-35.889
0.436,1.083,0.777,-23.743,166.199,-49.255
0.332,0.830,0.472,-20.386,159.241,-58.044
0.242,0.558,0.134,-18.311,155.701,-65.186
0.163,0.275,-0.062,-15.930,147.278,-68.909
0.083,0.023,-0.224,-15.381,137.268,-69.824
0.024,-0.154,-0.358,-17.578,127.930,-67.383
-0.009,-0.232,-0.514,-22.644,118.347,-62.866
-0.038,-0.228,-0.655,-26.978,107.422,-57.800
-0.055,-0.161,-0.812,-30.884,95.764,-53.162
-0.072,-0.138,-0.909,-32.776,81.665,-50.415
-0.104,-0.125,-0.963,-31.555,65.674,-48.767
-0.146,-0.248,-1.040,-28.442,50.598,-47.668
-0.301,-0.292,-1.118,-26.428,36.987,-45.715
-0.212,-0.403,-0.975,-37.598,20.874,-44.067
-0.290,-0.787,-1.267,-29.297,10.620,-43.701
-0.316,-0.881,-1.478,-12.268,-1.343,-33.020
-0.378,-0.866,-1.501,-6.592,-22.156,-22.888
-0.404,-0.904,-1.506,-5.737,-45.166,-14.404
-0.438,-0.971,-1.484,-5.249,-63.477,-6.042
-0.463,-0.992,-1.431,-6.653,-82.275,2.258
-0.484,-0.950,-1.308,-8.240,-99.976,12.085
-0.499,-0.868,-1.145,-9.033,-116.333,21.667
-0.499,-0.766,-1.034,-8.240,-130.005,30.579
-0.485,-0.619,-1.038,-5.676,-141.235,38.391
-0.451,-0.431,-1.018,-2.136,-154.602,44.556
-0.418,-0.195,-0.908,3.052,-170.410,48.706
-0.375,-0.023,-0.703,8.667,-186.951,49.377
-0.311,0.139,-0.498,14.221,-201.660,47.485
-0.249,0.175,-0.300,19.409,-215.149,43.030
-0.155,0.107,-0.026,26.672,-229.004,37.781
-0.026,-0.062,0.480,36.438,-244.629,33.447
0.099,-0.303,1.296,41.565,-263.855,30.640
0.290,-0.449,2.531,42.969,-284.119,32.471
0.495,-0.424,3.531,39.551,-267.395,38.330
0.771,-0.231,4.000,35.278,-246.216,45.715
1.020,0.293,4.000,25.940,-196.411,53.284
1.307,0.676,4.000,13.916,-163.086,56.519
1.468,1.070,4.000,-7.202,-118.591,53.528
1.548,1.353,4.000,-15.930,-66.284,47.791
1.569,1.515,4.000,-21.973,-13.489,38.330
1.478,1.671,4.000,-27.466,43.396,28.198
