aX,aY,aZ,gX,gY,gZ
-0.388,-3.003,3.352,-124.939,-76.721,-198.059
-0.214,-3.415,3.199,-109.802,-47.363,-175.110
-0.045,-3.617,2.892,-100.708,-23.682,-147.522
0.109,-3.433,2.507,-88.623,-5.859,-113.220
0.235,-3.046,2.174,-77.515,6.775,-79.163
0.322,-2.640,1.788,-70.007,17.395,-53.467
0.402,-2.237,1.470,-57.007,24.658,-33.264
0.460,-1.903,1.114,-41.992,32.104,-16.968
0.513,-1.711,0.919,-29.236,27.283,-6.348
0.561,-1.551,0.827,-20.813,22.278,2.014
0.605,-1.330,0.734,-16.418,21.423,11.597
0.647,-1.007,0.561,-11.780,23.071,21.179
0.715,-0.711,0.336,-8.118,23.865,27.344
0.771,-0.417,0.098,-4.456,21.423,30.151
0.811,-0.214,0.033,-0.732,13.367,29.907
0.841,-0.132,0.001,1.038,5.127,27.344
0.873,-0.115,0.062,5.615,-2.991,24.658
1.611,-0.013,1.550,4.761,-30.090,20.630
1.664,0.082,2.116,13.428,-28.564,20.996
1.654,0.120,2.647,25.330,-23.193,20.630
1.611,0.083,3.122,35.400,-13.550,20.203
1.533,0.067,3.390,39.856,10.620,20.020
1.431,0.108,3.500,36.926,42.969,20.630
1.298,0.177,3.447,26.978,75.684,20.630
1.151,0.275,3.190,15.869,106.323,20.081
0.994,0.361,2.742,5.981,135.010,18.555
0.833,0.406,2.173,-1.099,160.950,15.930
0.688,0.384,1.606,-6.836,179.199,11.719
0.561,0.359,1.090,-11.475,195.374,7.690
0.460,0.392,0.364,-14.893,210.937,4.578
0.420,0.436,-0.084,-15.625,198.364,0.854
0.373,0.497,-0.496,-15.015,191.711,-2.930
0.348,0.516,-0.723,-11.963,175.903,-7.812
0.331,0.540,-0.939,-9.216,161.743,-12.817
0.335,0.539,-1.040,-5.249,144.592,-18.799
0.324,0.516,-1.031,-1.465,124.634,-25.146
0.305,0.441,-0.978,1.831,107.300,-31.128
0.279,0.283,-0.870,5.310,91.370,-36.316
0.251,0.131,-0.774,9.521,77.454,-39.673
0.227,-0.033,-0.645,12.085,66.101,-41.138
0.201,-0.203,-0.557,12.573,57.007,-41.260
0.185,-0.401,-0.440,11.841,49.255,-39.612
0.190,-0.567,-0.375,9.705,43.762,-35.522
0.196,-0.656,-0.351,5.615,39.673,-29.358
0.202,-0.673,-0.332,1.465,35.828,-21.484
0.207,-0.658,-0.374,-2.686,32.715,-13.611
0.219,-0.586,-0.451,-6.409,29.297,-6.714
