aX,aY,aZ,gX,gY,gZ
0.591,0.208,1.673,27.283,-7.568,104.004
0.592,0.211,1.678,28.931,-2.075,104.614
0.590,0.197,1.680,29.846,4.578,105.591
0.581,0.229,1.672,30.090,11.780,107.300
0.575,0.313,1.629,29.053,19.043,109.314
0.578,0.424,1.579,27.405,26.184,110.779
0.589,0.548,1.532,24.780,33.020,111.572
0.612,0.718,1.512,23.254,39.001,111.450
0.625,0.905,1.468,22.095,44.983,109.863
0.643,1.048,1.442,19.287,50.598,105.896
0.665,1.154,1.442,16.052,56.396,100.220
0.676,1.204,1.417,13.489,62.012,93.567
0.684,1.206,1.371,12.451,67.261,86.914
0.682,1.182,1.323,11.475,72.449,80.200
0.683,1.182,1.273,11.658,76.477,74.585
0.685,1.202,1.201,10.986,80.627,69.397
0.686,1.236,1.163,9.888,83.496,63.965
0.683,1.307,1.155,8.606,85.632,58.594
0.681,1.384,1.154,6.531,88.318,52.307
0.666,1.417,1.144,4.272,91.187,44.983
0.641,1.367,1.143,1.526,94.055,36.743
0.625,1.288,1.131,-0.671,97.229,29.602
0.604,1.211,1.093,-3.113,100.647,23.376
0.589,1.142,1.035,-5.981,103.943,18.066
0.575,1.127,0.986,-9.827,106.812,13.672
0.561,1.203,0.917,-12.878,109.558,9.888
0.549,1.310,0.833,-15.564,111.938,5.310
0.527,1.426,0.733,-18.372,113.708,-0.549
0.513,1.524,0.613,-19.409,114.380,-6.958
0.496,1.559,0.495,-19.775,113.525,-15.564
0.478,1.530,0.375,-19.653,111.572,-25.513
0.443,1.445,0.266,-19.104,109.009,-35.217
0.428,1.326,0.172,-19.165,104.614,-44.373
0.394,1.162,0.142,-19.897,99.365,-52.429
0.363,1.005,0.137,-21.240,93.445,-59.021
0.339,0.883,0.140,-20.508,88.135,-63.477
0.322,0.779,0.133,-20.325,83.496,-66.772
0.297,0.688,0.128,-20.325,79.041,-68.909
0.281,0.640,0.123,-21.118,74.829,-70.374
0.274,0.617,0.081,-22.827,71.472,-71.533
