aX,aY,aZ,gX,gY,gZ
-0.464,-2.321,-0.461,-11.963,-91.736,68.420
-0.582,-2.936,-0.333,-5.066,-98.328,85.327
-0.754,-3.288,-0.321,2.808,-101.379,113.037
-0.982,-3.552,-0.416,9.949,-104.736,148.804
-1.231,-3.473,-0.626,20.447,-109.131,189.941
-1.477,-3.177,-0.943,28.564,-116.882,232.971
-1.780,-2.385,-1.123,35.400,-129.089,272.217
-2.031,-1.492,-1.033,37.415,-149.475,303.711
-2.183,-0.708,-0.813,35.461,-174.988,320.312
-2.234,-0.023,-0.552,33.386,-191.406,329.163
-2.237,0.524,-0.191,34.119,-209.656,329.163
-2.214,0.881,0.213,38.574,-222.778,323.730
-2.165,1.122,0.625,42.175,-232.056,314.819
-2.010,1.149,1.063,47.791,-238.281,305.054
-1.969,1.362,1.567,63.721,-245.789,296.692
-1.796,1.668,2.082,65.918,-245.300,289.734
-1.621,2.000,2.475,62.805,-228.577,279.724
-1.449,2.247,2.820,56.152,-215.942,267.029
-1.179,2.522,3.063,39.612,-195.862,251.526
-0.907,2.669,3.158,23.254,-173.645,235.474
-0.786,2.626,2.952,18.250,-147.644,220.276
-0.544,3.182,2.889,15.869,-127.625,210.022
-0.355,3.591,2.660,17.578,-110.535,196.594
-0.159,3.866,2.614,7.629,-99.548,173.096
0.066,4.000,2.710,-11.597,-89.722,147.034
0.222,4.000,2.863,-10.986,-82.642,122.559
0.313,3.843,2.949,-0.916,-71.472,99.792
0.367,4.000,3.146,11.230,-59.631,81.726
0.389,4.000,3.408,9.583,-53.711,64.087
0.401,4.000,3.519,12.817,-30.823,38.574
0.292,4.000,3.633,26.978,-8.606,10.437
0.104,4.000,3.458,43.030,17.883,-25.208
-0.086,4.000,3.093,38.208,48.157,-76.172
-0.313,4.000,2.461,34.546,75.439,-132.385
-0.615,4.000,1.765,45.898,96.619,-185.852
-0.911,4.000,1.272,53.467,110.291,-231.384
-1.234,3.639,0.766,48.340,122.681,-268.555
-1.488,2.981,0.689,39.001,111.755,-296.326
-1.731,2.363,0.637,26.550,104.248,-317.749
-1.928,1.684,0.751,-2.625,100.830,-337.097
-2.096,0.972,1.013,-23.926,96.436,-348.083
-2.183,0.380,1.236,-38.391,96.252,-351.196
-2.282,-0.185,1.366,-54.321,101.807,-350.281
-2.333,-0.672,1.198,-62.317,112.244,-343.201
-2.296,-0.854,0.724,-56.091,121.704,-331.787
-2.321,-0.961,0.044,-36.743,129.272,-318.237
-2.313,-1.194,-0.626,-33.752,131.287,-310.303
-2.298,-1.862,-1.080,-48.279,121.948,-308.228
-2.219,-3.096,-1.295,-75.256,101.563,-307.495
-2.018,-4.000,-1.350,-94.910,73.059,-301.025
-1.961,-4.000,-1.898,-110.779,58.167,-313.293
-1.626,-4.000,-1.084,-253.845,21.545,-277.954
-1.436,-4.000,-1.556,-143.250,0.366,-132.202
-1.309,-4.000,-1.622,-74.036,-22.888,-41.260
-1.393,-4.000,-1.874,-55.237,-48.157,53.955
